p,z,H,T
1000.0,129.72755,72.22937,289.32666
975.0,356.92316,72.292694,287.92923
950.0,576.1953,72.26994,286.54993
925.0,800.1179,72.30067,285.07275
900.0,1028.9307,72.29147,283.60767
875.0,1262.8926,72.369995,282.05704
850.0,1502.2549,72.29385,280.54584
825.0,1747.4801,73.00333,279.15045
800.0,1999.9791,53.877743,280.299
775.0,2261.1067,38.272854,280.3474
750.0,2529.5205,37.525444,278.5155
725.0,2804.9248,40.6785,276.23584
700.0,3087.7295,43.716522,273.97186
675.0,3378.6426,44.33401,271.94174
650.0,3678.5889,35.331184,270.56354
625.0,3988.8333,24.577013,269.41635
600.0,4310.0435,16.739305,267.76974
575.0,4642.2886,12.053592,265.4858
550.0,4985.8154,9.759453,262.8062
525.0,5341.9966,9.641985,260.30228
500.0,5712.01,9.287398,257.64474
